y0;y1;y2;y3;y4;y5;y6;y7;y8;y9;y10;y11;y12;y13;y14;y15;y16;y17;y18;y19;y20;y21;y22;y23;y24;y25;y26;y27;y28;y29
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002240;0.000000;0.001400;0.003780;0.001540;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002940;0.001960;0.004760;0.007000;0.003360;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001120;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.003500;0.004340;0.007280;0.002940;0.001820;0.001680;0.001680;0.000700;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001260;0.001960;0.000000;0.001960;0.001680;0.003500;0.002100;0.001680;0.001400;0.000000;0.000000;0.000000;0.001680;0.004480;0.001820;0.002940;0.002380;0.000700;0.000000;0.000000;0.001680;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000560;0.001960;0.000000;0.000000;0.002660;0.002380;0.001680;0.003360;0.000700;0.000000;0.000000;0.001680;0.004900;0.001120;0.004760;0.000000;0.000000;0.000840;0.001960;0.001400;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001680;0.002520;0.003920;0.008820;0.002380;0.000980;0.001680;0.003220;0.006300;0.004760;0.002940;0.001680;0.001260;0.000420;0.001960;0.003220;0.001400;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000980;0.001260;0.001540;0.000420;0.002520;0.003080;0.002660;0.000840;0.005320;0.004620;0.003220;0.000280;0.000000;0.000420;0.001960;0.001400;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001260;0.002380;0.001540;0.001400;0.002380;0.001120;0.006300;0.003220;0.001680;0.000840;0.000420;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.003500;0.000840;0.004760;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001120;0.002520;0.003640;0.004760;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001680;0.000000;0.001120;0.000560;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001820;0.000000;0.000140;0.001400;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001820;0.001120;0.000000;0.000420;0.001260;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000840;0.002520;0.000140;0.002940;0.003500;0.003080;0.001820;0.000700;0.001680;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001820;0.001540;0.002940;0.000420;0.000000;0.000000;0.002240;0.001120;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000700;0.001680;0.001960;0.004900;0.000560;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001680;0.001540;0.000980;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
